0,Blackburn Rovers FC
1,Queens Park Rangers FC
2,Cardiff City FC
3,Hibernian FC
4,Leicester City FC
5,Trabzonspor Kulübü
6,US Città di Palermo
7,Leeds United FC
8,Wycombe Wanderers FC
9,Brentford FC
10,Swindon Town FC
11,Coventry City FC
12,Huddersfield Town FC
13,Rotherham United FC
14,Cheltenham Town FC
15,Bristol City FC
16,Plymouth Argyle FC
17,Middlesbrough FC
18,Aston Villa FC
19,Brighton & Hove Albion FC
20,AFC Bournemouth
21,Southend United FC
22,Reading FC
23,Yeovil Town FC
24,Norwich City FC
25,Milton Keynes Dons FC
26,Angers Sporting Club de l'Ouest
27,FC Lorient
28,Fulham FC
29,Crewe Alexandra FC
30,Charlton Athletic FC
31,Walsall FC
32,Nottingham Forest FC
33,Preston North End FC
34,Woking FC
35,Heart of Midlothian FC
36,Atlético Levante UD
37,Levante UD
38,Deportivo Alavés
39,Real Betis Balompié
