0,Saint Mirren FC
1,Western Sydney Wanderers FC
2,Melbourne City FC
3,Huddersfield Town FC
4,Sporting Club Eendracht Aalst
5,KV Oostende
6,KAA Gent
7,FC Porto
8,Valenciennes FC II
9,Valenciennes FC
10,Royal Standard de Liège
11,Montpellier HSC
12,Montpellier HSC II
13,Nîmes Olympique
14,Borussia VfL Mönchengladbach
15,SC Paderborn 07
16,FC Ingolstadt 04
17,FC København
18,PSV Eindhoven
19,FC Midtjylland
20,En Avant Guingamp
21,1. FSV Mainz 05
22,Tottenham Hotspur FC
23,Tottenham Hotspur FC Under 19
24,Swindon Town FC
25,Brentford FC
26,Norwich City FC
27,Darlington FC
28,Watford FC
29,Manchester City FC Under 19
30,1. FSV Mainz 05 II
31,BV Borussia 09 Dortmund II
32,BV Borussia 09 Dortmund
33,TSV 1860 München II
34,TSV 1860 München
35,Chemnitzer FC
36,1. FC Kaiserslautern
37,Feyenoord Rotterdam
38,AS Monaco FC
39,BSC Young Boys
