0,Le Havre AC II
1,Le Havre AC
2,Leicester City FC
3,Manchester City FC
4,Club Atlético de Madrid
5,SE Palmeiras
6,FC Shakhtar Donetsk
7,GD Ribeirão
8,Rio Ave FC
9,SL Benfica II
10,SL Benfica
11,Barnsley FC
12,Everton FC
13,Sheffield United FC
14,Queens Park Rangers FC
15,Tottenham Hotspur FC
16,Liverpool FC Under 19
17,Liverpool FC
18,Athletic Club Bilbao Under 19
19,Athletic Club Bilbao
20,Paris Saint Germain FC Under 19
21,Olympique de Marseille II
22,Olympique de Marseille
23,AS Monaco FC
24,FC Schalke 04 Under 19
25,FC Schalke 04
26,Valencia CF
