,team
0,Blackburn Rovers FC
1,Queens Park Rangers FC
2,Cardiff City FC
3,Hibernian FC
4,Leicester City FC
5,Trabzonspor Kulübü
6,US Città di Palermo
7,Leeds United FC
8,Wycombe Wanderers FC
9,Brentford FC
10,Swindon Town FC
11,Coventry City FC
12,Huddersfield Town FC
13,Rotherham United FC
14,Cheltenham Town FC
15,Bristol City FC
16,Plymouth Argyle FC
17,Middlesbrough FC
18,Aston Villa FC
19,Brighton & Hove Albion FC
20,AFC Bournemouth
21,Southend United FC
22,Reading FC
23,Yeovil Town FC
24,Norwich City FC
25,Milton Keynes Dons FC
26,Angers Sporting Club de l'Ouest
27,FC Lorient
28,Fulham FC
29,Crewe Alexandra FC
30,Charlton Athletic FC
31,Walsall FC
32,Nottingham Forest FC
33,Preston North End FC
34,Woking FC
35,Heart of Midlothian FC
36,Atlético Levante UD
37,Levante UD
38,Deportivo Alavés
39,Real Betis Balompié
40,Lille OSC Métropole
41,Chelsea FC
42,FC Shakhtar Donetsk
43,SL Benfica
44,Paris Saint-Germain FC
45,GNK Dinamo Zagreb
46,FC Internazionale Milano
47,Real Madrid CF
48,Chelsea FC Under 19
49,Borussia VfL Mönchengladbach
50,Everton FC
51,Boulogne-sur-Mer Côte d'Opale II
52,US Boulogne-sur-Mer Côte d'Opale
53,Stade Malherbe Caen
54,Tours FC
55,Montpellier HSC
56,Arsenal FC
57,VfB Stuttgart 1893
58,AS Roma
59,AC Sambonifacese
60,Hellas Verona FC
61,SSC Napoli
62,FC Barcelona
63,Athletic Club Bilbao
64,Athletic Club Bilbao Under 19
65,Real Valladolid Club de Fútbol
66,Bolton Wanderers FC
67,ACF Fiorentina
68,CA Osasuna
69,Olympique de Marseille
70,Juventus FC
71,Sint-Truidense VV
72,RSC Anderlecht
73,KSC Lokeren Oost-Vlaanderen
74,Stade de Reims
75,Olympique de Marseille II
76,AS des Employés de Commerce Mimosas
77,FC Paços de Ferreira
78,OGC Nice Côte d'Azur
79,Fulham FC Under 18
80,Southampton FC
81,Maidenhead United FC
82,Luton Town FC
83,Barnsley FC
84,Swansea City AFC
85,Le Havre AC
86,1. FSV Mainz 05
87,Bayer 04 Leverkusen
88,VfL Wolfsburg
89,BV Borussia 09 Dortmund
90,FK Bodø / Glimt
91,Strømsgodset IF
92,Celtic FC
93,Derby County FC
94,Burnley FC
95,Sheffield United FC
96,Wolverhampton Wanderers FC
97,Hull City AFC
98,FK Teleoptik Zemun
99,FK Partizan Beograd
100,Newcastle United FC
101,Sevilla Atlético
102,Sevilla FC
103,Saint Mirren FC
104,Western Sydney Wanderers FC
105,Melbourne City FC
106,Sporting Club Eendracht Aalst
107,KV Oostende
108,KAA Gent
109,FC Porto
110,Valenciennes FC II
111,Valenciennes FC
112,Royal Standard de Liège
113,Montpellier HSC II
114,Nîmes Olympique
115,SC Paderborn 07
116,FC Ingolstadt 04
117,FC København
118,PSV Eindhoven
119,FC Midtjylland
120,En Avant Guingamp
121,Tottenham Hotspur FC
122,Tottenham Hotspur FC Under 19
123,Darlington FC
124,Watford FC
125,Manchester City FC Under 19
126,1. FSV Mainz 05 II
127,BV Borussia 09 Dortmund II
128,TSV 1860 München II
129,TSV 1860 München
130,Chemnitzer FC
131,1. FC Kaiserslautern
132,Feyenoord Rotterdam
133,AS Monaco FC
134,BSC Young Boys
135,SC Internacional
136,Liverpool FC
137,Figueirense FC
138,TSG 1899 Hoffenheim
139,Olympique Lyonnais
140,Al Mokawloon Al Arab
141,FC Basel 1893
142,Liverpool FC Under 19
143,Sunderland AFC
144,Manchester City FC
145,Liverpool FC Under 18 Academy
146,Istres FC
147,FC Salzburg
148,Rasen Ballsport Leipzig
149,FC Groningen
150,Queen's Park FC
151,Dundee United FC
152,FC Metz II
153,FC Bayern München
154,Stoke City FC
155,Le Havre AC II
156,Club Atlético de Madrid
157,SE Palmeiras
158,GD Ribeirão
159,Rio Ave FC
160,SL Benfica II
161,Paris Saint Germain FC Under 19
162,FC Schalke 04 Under 19
163,FC Schalke 04
164,Valencia CF
